  FO:     127.0.0.1:59099 - "GET /api/models/status HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:59101 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:59103 - "GET /api/relay/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:59105 - "POST /api/relay/start HTTP/1.1" 200 OK
INFO:     127.0.0.1:63539 - "GET /api/experiments?limit=3 HTTP/1.1" 404 Not Found
 INFO:     127.0.0.1:58860 - "POST /api/relay/start HTTP/1.1" 200 OK
 INFO:     127.0.0.1:64189 - "POST /api/relay/start HTTP/1.1" 200 OK
INFO:     127.0.0.1:57068 - "POST /api/relay/start HTTP/1.1" 200 OK
INFO:     127.0.0.1:57000 - "POST /api/relay/start HTTP/1.1" 200 OK
INFO:     127.0.0.1:50980 - "GET /api/relay/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:50985 - "GET /api/relay/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:50987 - "POST /api/relay/start HTTP/1.1" 200 OK
 
